compound_id,base_rdkit_smiles,relation_cdk1,avg_pIC50_cdk1,relation_cdk2,avg_pIC50_cdk2,relation_cdk4,avg_pIC50_cdk4,relation_cdk5,avg_pIC50_cdk5,relation_cdk6,avg_pIC50_cdk6,relation_cdk7,avg_pIC50_cdk7,relation_cdk8,avg_pIC50_cdk8,relation_cdk9,avg_pIC50_cdk9,relation_cdk12,avg_pIC50_cdk12,relation_cdk13,avg_pIC50_cdk13
CHEMBL1083151,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,,6.151195298948196,,6.621602099051862,,6.176525770829699,,,,,,6.614393726401688,,,,7.958607314841775,,,,
CHEMBL1083152,CNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,,6.43533393574791,,6.59176003468815,,6.019996628416254,,,,,,6.431798275933005,,,,8.221848749616356,,,,
CHEMBL1083484,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)s1,<,5.0,,5.401537799525849,<,5.0,,,,,<,5.0,,,,5.83209218999852,,,,
CHEMBL1083785,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)n2)s1,,6.070070439915412,,6.527243550682788,,7.657577319177793,,,,,,5.966576244513051,,,,6.348721986001856,,,,
CHEMBL1083786,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1,,5.722620025332746,,6.364516253185088,,6.031984286006359,,,,,,5.552221990705379,,,,5.938170692705301,,,,
CHEMBL1084454,Cc1nc(C)c(-c2ccnc(Nc3ccc(N)cc3)n2)s1,,6.114073660198569,,6.774690718274137,,6.09312646527793,,,,,,5.592439150513638,,,,6.4723700991286615,,,,
CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,,6.510496846731348,,6.534707857742329,<,4.522878745280337,,7.059817610015834,<,4.522878745280337,,6.787450635198352,<,5.40000018605658,,6.53417598820337,<,4.522878745280337,,5.346498053037068
CHEMBL1084629,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,,5.4061603389187285,,6.806875401645538,,6.025488307262672,,,,,<,5.0,,,,5.584192272364457,,,,
CHEMBL1084630,CCNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,<,5.0,,6.82102305270683,,6.707743928643524,,,,,<,5.0,,,,6.252588192113577,,,,
CHEMBL1084715,CCNc1nc(C)c(-c2ccnc(Nc3ccc(CNC(C)=O)cc3)n2)s1,,6.619788758288394,,7.494850021680094,,7.42021640338319,,,,,,6.767003889607846,,,,8.045757490560675,,,,
CHEMBL1084969,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,<,5.0,,6.282329496997738,,5.903785414653595,,,,,,5.667763584508557,,,,6.578396073130169,,,,
CHEMBL1085626,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,<,5.0,,5.983384452442823,,5.663540266151471,,,,,<,5.0,,,<,5.0,,,,
CHEMBL1086088,CCNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,,5.912218582190458,,6.334419008982047,<,5.0,,,,,,5.855425792390384,,,,6.248720896016658,,,,
CHEMBL1086427,CCCC(=O)Nc1n[nH]c2c(F)c(Cl)c(-c3ccccc3)cc12,,5.6020599913279625,,5.5003129173815966,,,,,,,,,,,,,,,,
CHEMBL1086736,COc1ccncc1C1=NNC(=O)/C1=N\Nc1ccccc1,,,,7.119186407719209,,,,,,,,,,,,,,,,
CHEMBL1087281,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4)s3)cc12,,,,7.142667503568732,,,,,,,,,,,,,,,,
CHEMBL1087397,CN(C)Cc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,,,<,5.698970004336019,<,5.698970004336019,,,,,,,,,,,,,,
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,,,<,5.0,,,,,,,,,,,,,,,,
CHEMBL1087650,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,,4.546681659952962,,4.578396073130169,,,,,,,,,,,,,,,,
CHEMBL1088613,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4F)s3)cc12,,,,6.982966660701219,,,,,,,,,,,,,,,,
